Date,PRCP,SNOW,TMAX,TMIN,TAVG,AWND
10/09/2015,2.8,0,28.9,21.1,25.7,4.3
11/09/2015,0,0,30.6,18.3,23.6,3.2
12/09/2015,4.1,0,23.9,19.4,22.4,2.6
13/09/2015,0,0,23.3,15.6,20.5,4.8
14/09/2015,0,0,26.7,12.8,19.3,3.8
15/09/2015,0,0,28.9,15.6,21.7,1.7
16/09/2015,0,0,30,15.6,23.1,1.6
17/09/2015,0,0,30,17.2,23.3,2.3
18/09/2015,0,0,30.6,18.3,23.6,2.7
19/09/2015,0,0,30.6,19.4,23.9,3.4
20/09/2015,0,0,27.8,20,23.4,4.8
21/09/2015,5.8,0,21.1,17.2,19.8,4.7
22/09/2015,0,0,23.9,16.7,19.1,4.4
23/09/2015,0,0,26.7,15.6,21,3.8
24/09/2015,0,0,26.1,15.6,20.7,3.5
25/09/2015,0,0,22.8,17.2,20.3,4.7
26/09/2015,0,0,23.3,17.8,2000.1,5.9
27/09/2015,0,0,23.9,16.7,19.5,4.8
28/09/2015,0,0,28.3,19.4,22.7,2.6
29/09/2015,41.9,0,26.7,21.7,23.9,3.1
30/09/2015,0,0,25.6,17.2,23.1,5.1
01/10/2015,19.8,0,17.2,13.9,15.6,6.4
02/10/2015,24.4,0,14.4,10,12.6,8
03/10/2015,4.8,0,14.4,10,11.6,7.7
04/10/2015,0,0,15,12.2,13.9,6.8
05/10/2015,0,0,20.6,11.1,14.8,3.5
06/10/2015,0,0,25,10,16.6,1.8
07/10/2015,0,0,25.6,14.4,18.8,1.4
08/10/2015,0,0,25.6,13.9,18.9,1.7
09/10/2015,10.2,0,26.1,16.7,20.3,3.6
10/10/2015,0,0,18.9,10.6,16.9,3.6
11/10/2015,0,0,21.7,8.3,14.3,1.6
12/10/2015,0,0,23.9,10,16,2.6
13/10/2015,0,0,25.6,15,18.7,3
14/10/2015,0,0,21.7,12.8,17.5,3.1
15/10/2015,0,0,20,11.7,15.8,3.8
16/10/2015,0,0,19.4,10.6,14.8,4.1
17/10/2015,0,0,15.6,6.7,12.1,4.4
18/10/2015,0,0,12.2,3.3,8.2,4.7
19/10/2015,0,0,13.3,2.8,7.8,3
20/10/2015,0,0,20,6.7,11.4,2.9
21/10/2015,0,0,22.8,8.9,14.4,2.1
22/10/2015,0,0,24.4,10,16,2.6
23/10/2015,0,0,21.1,11.1,17.6,3.5
24/10/2015,0,0,16.7,8.3,12.5,3
25/10/2015,0.8,0,21.7,12.2,15.9,4.3
26/10/2015,0,0,16.1,7.8,12.8,3.1
27/10/2015,0,0,15,6.7,10.6,3.5
28/10/2015,16.5,0,21.1,12.8,16.8,5.9
29/10/2015,0.8,0,22.8,13.3,19.4,2.9
30/10/2015,0,0,16.1,7.8,13.3,5.2
31/10/2015,0,0,16.1,5.6,10.6,2.9
01/11/2015,1,0,17.8,11.7,14.1,3.8
02/11/2015,0,0,18.9,10.6,15.4,0.7
03/11/2015,0,0,22.2,7.8,13.9,0.5
04/11/2015,0.5,0,23.9,8.9,15.4,1
05/11/2015,3.8,0,22.2,14.4,16.9,1.7
06/11/2015,0,0,26.7,15.6,20,4.4
07/11/2015,2.8,0,21.7,12.2,17.9,3.2
08/11/2015,0,0,14.4,6.7,12.1,3.3
09/11/2015,13.5,0,11.7,5,8.7,2.9
10/11/2015,6.1,0,16.1,10.6,12.9,5.1
11/11/2015,0,0,,10.6,14.1,4.7
12/11/2015,0.3,0,18.9,9.4,12.8,3
13/11/2015,0,0,16.7,9.4,14.9,5.1
14/11/2015,,0,12.8,5,10.4,5.1
15/11/2015,0,0,17.8,2.2,8.9,3.4
16/11/2015,0,0,21.1,5.6,12.7,1.6
17/11/2015,0,0,16.1,7.8,11.6,3.3
18/11/2015,0,0,18.3,7.8,12.6,4
19/11/2015,16,0,18.3,15,17.2,3.3
20/11/2015,0,0,15.6,5.6,13.2,5.2
21/11/2015,0,0,12.8,3.3,8.1,2.6
22/11/2015,0,0,9.4,2.8,8.5,6.4
23/11/2015,0,0,5.6,0,3.2,4.9
24/11/2015,0,0,13.3,0.6,5.7,2.9
25/11/2015,0,0,14.4,2.8,7.6,2.4
26/11/2015,0,0,17.8,4.4,9.6,1.1
27/11/2015,0,,18.3,5.6,10.7,2.4
28/11/2015,0,0,17.8,9.4,12.6,2.1
29/11/2015,4.3,0,15,7.2,11.2,4
30/11/2015,5.1,0,7.2,3.9,5.8,4.6
01/12/2015,21.6,0,8.9,6.7,7.8,2.1
02/12/2015,5.6,0,15,8.9,10.7,2.6
03/12/2015,0,0,11.7,5.6,9.8,6.1
04/12/2015,0,0,11.7,2.2,6.8,2.3
05/12/2015,0,0,12.2,0.6,6.4,1.1
06/12/2015,0,0,11.1,0.6,5.4,1.3
07/12/2015,0,0,15.6,2.2,7.9,2.4
08/12/2015,0,0,13.3,3.3,8.3,1.7
09/12/2015,0,0,9.4,3.9,6.6,2.2
10/12/2015,0,0,17.2,5,9.4,1.2
11/12/2015,0,0,18.9,5.6,10.9,1.7
12/12/2015,0,0,20,7.2,12.2,1.5
13/12/2015,0,0,21.7,8.9,13.5,2.3
14/12/2015,3.3,0,20.6,11.7,15.6,5.1
15/12/2015,0,0,19.4,8.3,16.5,5.5
16/12/2015,0,0,13.9,5,9.8,2.4
17/12/2015,10.7,0,12.2,8.3,9.9,1.6
18/12/2015,0,0,11.1,1.7,8.6,6.1
19/12/2015,0,0,7.2,-1,3,4.4
20/12/2015,0,0,7.8,0,3.7,2.8
21/12/2015,0,0,14.4,3.3,7.7,5.3
22/12/2015,3.6,0,16.7,10.6,12.8,3.5
23/12/2015,42.4,0,18.9,12.2,15.2,2.6
24/12/2015,5.1,0,21.7,15.6,18.8,4.5
25/12/2015,7.6,0,20.6,13.9,17.9,2.1
26/12/2015,0.3,0,15.6,10.6,14.3,3.8
27/12/2015,0.5,0,21.1,10.6,13.9,5.1
28/12/2015,5.8,0,15.6,5,10.6,6.3
29/12/2015,12.7,0,11.7,6.7,8.2,3
30/12/2015,3.8,0,12.8,9.4,10.6,2.1
31/12/2015,0,0,13.9,6.7,11.2,3.8
01/01/2016,0,0,8.3,2.2,6.7,3.7
02/01/2016,0,0,8.9,0,4.2,2.8
03/01/2016,0,0,12.2,0,4.9,3.5
04/01/2016,0,0,3.3,-6,2,7.5
05/01/2016,0,0,1.1,-8.8,-4.3,4.6
06/01/2016,0,0,4.4,-6.6,-1.7,1.7
07/01/2016,0,0,6.1,1.1,3.3,1.2
08/01/2016,0,0,7.2,4.4,5.1,2
09/01/2016,5.8,0,10,5,6.9,2.1
10/01/2016,14.2,0,16.7,2.8,12.5,7.6
11/01/2016,0,,5,-2.1,2.3,4.4
12/01/2016,0,0,8.3,-2.1,2.1,6
13/01/2016,0,0,0,-6,-2,4.5
14/01/2016,0,0,11.7,-2.1,1.7,3.4
15/01/2016,8.1,0,10,1.1,5.9,2.6
16/01/2016,0.3,0,11.7,3.3,7.1,4.1
17/01/2016,1.3,8,3.3,0,2.9,2.9
18/01/2016,0,0,1.1,-8.8,-3.1,7.9
19/01/2016,0,0,-2.1,-9.3,-6.9,6.7
20/01/2016,0.8,18,-0.5,-7.1,-4.5,3.6
21/01/2016,0,0,1.1,-4.3,-2.3,5.4
22/01/2016,13,165,-1.6,-5.5,-3.3,5.2
23/01/2016,24.6,287,-1.6,-4.3,-3.7,10.2
24/01/2016,0,0,1.7,-7.1,-2.1,4.1
25/01/2016,0,0,5.6,-8.8,-2.9,1
26/01/2016,0,0,11.1,-1,4.1,3.5
27/01/2016,0,0,8.9,-0.5,5.7,4.3
28/01/2016,0,0,4.4,-3.8,0.4,1.8
29/01/2016,0,0,6.1,-2.1,2.4,5.4
30/01/2016,0,0,5.6,-4.3,0.8,3.4
31/01/2016,0,0,13.9,2.2,6.2,4.2
01/02/2016,3,0,16.1,6.1,10,4
02/02/2016,0,0,11.7,2.2,6.7,2.8
03/02/2016,12.7,0,13.9,5,7.4,3.1
04/02/2016,0.5,0,14.4,5.6,11.2,5.9
05/02/2016,1,0,6.7,0.6,4.8,6.7
06/02/2016,0,0,6.7,-2.1,2.2,2.7
07/02/2016,0,0,7.8,-1,3.1,3.3
08/02/2016,0.3,0,7.8,1.1,4.8,3.8
09/02/2016,5.6,0,4.4,0,3.3,3.4
10/02/2016,0,0,3.9,-3.2,0.9,5.8
11/02/2016,0,0,-1,-6,-3.3,6.3
12/02/2016,0,0,-0.5,-7.1,-4.3,2.9
13/02/2016,0,3,-2.1,-9.3,-4.3,8.2
14/02/2016,0.3,5,-3.2,-10.5,-7.8,3.8
15/02/2016,11.9,71,-0.5,-6.6,-4.6,2.6
16/02/2016,17.5,0,11.7,-1,4.5,4.5
17/02/2016,0,0,9.4,-0.5,4.8,3.5
18/02/2016,0,0,4.4,-1,2.6,5.1
19/02/2016,0,0,5.6,-3.2,0.5,3.7
20/02/2016,0,0,18.3,4.4,8.2,5
21/02/2016,2.3,0,13.9,7.2,10.4,3.1
22/02/2016,0,0,11.7,5,8.8,3.1
23/02/2016,13.2,0,7.2,4.4,6.3,4.7
24/02/2016,27.9,0,18.3,5.6,8.8,4.7
25/02/2016,0,0,15.6,4.4,10.9,7.7
26/02/2016,0,0,4.4,-0.5,3.8,7.2
27/02/2016,0,0,8.3,-2.7,2.2,3.2
28/02/2016,0,,18.3,0.6,7.3,5
29/02/2016,0,0,18.3,-1096.7,14.1,5.1
01/03/2016,0,0,18.3,4.4,11.2,4
02/03/2016,2.5,0,15.6,-0.5,9.1,8.4
03/03/2016,0.5,0,5,-1.6,1.4,3.1
04/03/2016,1.3,8,5.6,0,2.2,5.5
05/03/2016,0,0,7.2,1.7,4,3.3
06/03/2016,0,0,11.1,2.8,5.4,1.9
07/03/2016,0,0,18.9,2.2,8.3,4.8
08/03/2016,0,0,26.1,7.8,14.9,2.2
09/03/2016,0,0,26.1,8.3,16.3,3.1
10/03/2016,0,0,26.1,13.9,18.7,5.1
11/03/2016,0,0,22.8,13.9,20.2,4.1
12/03/2016,0,0,15.6,10,13.6,2.1
13/03/2016,6.6,0,15.6,9.4,12.9,3.6
14/03/2016,4.8,0,11.7,8.3,10.3,4.8
15/03/2016,0.8,0,18.3,8.3,10.9,2.4
16/03/2016,0.3,0,23.3,9.4,15.4,2
17/03/2016,0,0,20.6,9.4,14.8,3.9
18/03/2016,0,0,19.4,8.9,14.6,4.7
19/03/2016,3.3,0,13.9,3.3,9,5
20/03/2016,0,0,6.7,2.8,4.4,4.3
21/03/2016,0,0,11.7,2.8,6.1,5
22/03/2016,0,0,16.7,1.7,8.3,4.6
23/03/2016,0,0,23.9,11.7,15.9,5.3
24/03/2016,0,0,25,10,17.3,5.2
25/03/2016,0.8,0,22.2,9.4,19.1,6.8
26/03/2016,0,0,16.7,5,10.4,3.3
27/03/2016,0.5,0,13.9,8.9,11.8,3.2
28/03/2016,8.1,0,21.1,9.4,12.7,5.8
29/03/2016,0,0,15.6,7.8,12.3,6.8
30/03/2016,0,0,17.2,5,10.9,4.3
31/03/2016,0,0,23.3,12.2,16.4,7.8
01/04/2016,1.3,0,28.3,17.8,21.6,6.3
02/04/2016,2.5,0,18.9,7.2,16.1,5.5
03/04/2016,0,0,12.2,2.8,7.8,6.8
04/04/2016,1.8,0,23.3,3.9,13.8,7
05/04/2016,0,0,7.8,-1,5,6.6
06/04/2016,0,0,13.9,0,6.5,5.8
07/04/2016,17.8,0,18.3,8.9,13,5
08/04/2016,0,0,12.2,6.1,9.2,5
09/04/2016,4.3,0,10,1.1,6.8,6.7
10/04/2016,0,0,11.1,-0.5,4.2,4.3
11/04/2016,0.3,0,22.8,8.3,12.8,7.4
12/04/2016,1.3,0,20,8.9,17.4,7.1
13/04/2016,0,0,15,6.1,10.6,2.8
14/04/2016,0,0,17.8,4.4,11.2,2.2
15/04/2016,0,0,17.8,5.6,12.2,2
16/04/2016,0,0,22.2,7.2,14.1,2.8
17/04/2016,0,0,23.3,8.3,14.8,1.6
18/04/2016,0,0,29.4,10.6,19.6,2.1
19/04/2016,0,0,28.9,13.3,21.2,4.7
20/04/2016,0,0,21.7,10,16.8,3.6
21/04/2016,0,0,24.4,9.4,15.9,4.7
22/04/2016,0,0,24.4,17.8,20.3,4.8
23/04/2016,6.6,0,21.7,12.8,18.2,5.6
24/04/2016,0,0,19.4,7.8,14.6,3.7
25/04/2016,0,0,25.6,10.6,16.7,3.5
26/04/2016,0,0,30,18.3,23.3,5.1
27/04/2016,0.8,0,21.7,11.7,16.9,3.5
28/04/2016,14.7,0,13.3,8.9,12.2,3.7
29/04/2016,0.3,0,13.3,8.9,10.2,3.3
30/04/2016,0.5,0,14.4,10.6,12.1,2.7
01/05/2016,12.2,0,15,11.1,12.7,3.1
02/05/2016,31.5,0,25,12.8,16.1,2.5
03/05/2016,4.3,0,22.8,14.4,18.7,3.3
04/05/2016,0.8,0,15.6,11.7,14.2,4.1
05/05/2016,0.5,0,14.4,10.6,11.9,4.9
06/05/2016,20.1,0,12.8,10.6,12.2,3.9
07/05/2016,3.6,0,19.4,10,13.3,3
08/05/2016,1,0,22.2,12.2,16.9,4.5
09/05/2016,1.5,0,17.8,10,14.5,2.5
10/05/2016,0.3,0,18.3,13.3,15.8,3.1
11/05/2016,10.4,0,16.1,12.2,13.8,2.2
12/05/2016,0,0,18.9,14.4,15.9,2.1
13/05/2016,2,0,25.6,15,19.1,3.5
14/05/2016,3.3,0,24.4,11.1,17.9,4.5
15/05/2016,0,,16.7,8.9,12.9,5.8
16/05/2016,0,0,19.4,7.2,12.9,3.8
17/05/2016,10.4,0,15,12.2,13.9,1.9
18/05/2016,0,0,18.9,12.2,14.7,2.9
19/05/2016,0.3,0,21.1,13.3,16.4,2.5
20/05/2016,0,0,24.4,11.7,18.2,2.4
21/05/2016,16.5,0,17.2,12.8,15.7,4.7
22/05/2016,9.4,0,14.4,12.2,13.1,4.3
23/05/2016,4.6,0,23.9,13.9,16.6,3.1
24/05/2016,0,0,28.3,13.9,20.5,4
25/05/2016,0,0,30,15.6,23,2.2
26/05/2016,0,0,31.1,17.2,23.1,3.5
27/05/2016,0,0,31.1,20.6,25.4,3.8
